time,x,z,action,interactions,target_obj
1687519218.4823508,0.7633057236671448,3.489000082015991,standing,reading,book
1687519218.6944344,0.6941724121570587,3.5135000944137573,standing,reading,book
1687519218.901494,0.6065276463826498,3.437000115712484,standing,reading,book
1687519219.107917,0.4937440554300944,3.380000114440918,standing,reading,book
1687519219.3139615,0.4280965328216553,3.3010001182556152,standing,reading,book
1687519219.5222929,0.44518887996673584,3.3885000944137573,standing,reading,book
1687519219.727914,0.4554630368947983,3.4470001459121704,standing,reading,book
1687519219.9329774,0.36843356490135193,3.3215001821517944,standing,reading,book
1687519220.1411119,0.21322569251060486,3.267000198364258,standing,reading,book
1687519220.3462312,0.21322569251060486,3.267000198364258,standing,reading,book
1687519220.5509,0.1350875198841095,3.326000213623047,walking,reading,book
1687519220.7554224,-0.04459831118583679,3.0860002040863037,standing,"holding,holding","book,bottle"
1687519220.961903,-0.041982801631093025,3.298500180244446,walking,"holding,holding","book,bottle"
1687519221.1702397,-0.04119039513170719,3.431500196456909,walking,"holding,holding","book,bottle"
1687519221.3784373,-0.05360114946961403,3.338000178337097,walking,"holding,holding","book,bottle"
1687519221.586807,-0.04410218633711338,3.168000102043152,walking,holding,bottle
1687519221.7938,-0.009107582736760378,3.168500065803528,standing,holding,bottle
1687519222.0018697,0.044914027210325,3.276000142097473,walking,"holding,holding","book,bottle"
1687519222.208678,0.1844989856084188,3.3330001831054688,standing,"holding,holding","book,bottle"
1687519222.418035,0.2533002595106761,3.3626668453216553,standing,"holding,holding","book,bottle"
1687519222.6257846,0.2919767002264659,3.377333482106527,walking,"holding,holding","book,bottle"
1687519222.833199,0.2924359937508901,3.298333485921224,walking,"holding,holding","book,bottle"
1687519223.0395494,0.27938133478164673,3.2256667613983154,walking,"holding,drinking","book,bottle"
1687519223.247934,0.25960669418176013,3.1130000750223794,walking,"holding,drinking","book,bottle"
1687519223.4567935,0.24811460077762604,3.0200000603993735,walking,"holding,drinking","book,bottle"
1687519223.664831,0.25609271228313446,2.914666732152303,walking,"holding,holding","book,bottle"
1687519223.8721287,0.26482948660850525,2.871000051498413,walking,"holding,holding","book,bottle"
1687519224.078337,0.27520182728767395,2.7820000648498535,walking,"holding,holding","book,bottle"
1687519224.4911258,0.34307366609573364,2.182000160217285,walking,"holding,holding","book,bottle"
1687519224.697955,0.3295302838087082,2.117000102996826,walking,"holding,drinking","book,bottle"
1687519224.902482,0.30443768203258514,1.9770000576972961,walking,"holding,drinking","book,bottle"
1687519225.1089833,0.30839383602142334,1.9203333854675293,walking,"holding,drinking","book,bottle"
1687519225.3179436,0.32958242297172546,1.7110000848770142,walking,"holding,drinking","book,bottle"
1687519225.5249386,0.31585708260536194,1.5440000891685486,walking,holding,book
1687519225.7337456,0.2758863866329193,1.4480000734329224,walking,"holding,drinking","book,bottle"
1687519225.940786,0.2599124014377594,1.4320001006126404,walking,"holding,drinking","book,bottle"
1687519226.1475704,0.23401670157909393,1.4690001010894775,walking,"holding,drinking","book,bottle"
1687519226.3549786,0.2119394689798355,1.5205000638961792,walking,"holding,drinking","book,bottle"
1687519226.563662,0.20991037786006927,1.7110000848770142,walking,"holding,drinking","book,bottle"
1687519226.7738423,0.2186017706990242,1.9675001502037048,walking,"holding,drinking","book,bottle"
1687519226.9803114,0.26637404412031174,2.1530001163482666,walking,"holding,drinking","book,bottle"
1687519227.1876085,0.3594013601541519,2.359000086784363,walking,"holding,drinking","book,bottle"
1687519227.3944044,0.43996743857860565,2.5470001697540283,walking,"holding,drinking","book,bottle"
1687519227.6022527,0.4637444317340851,2.625000238418579,walking,holding,book
1687519228.0134382,0.3634237051010132,3.202000141143799,walking,holding,book
1687519228.2217264,0.34080758690834045,3.3220001459121704,walking,"holding,holding","book,bottle"
1687519228.4293091,0.3144421676794688,3.3350001176198325,walking,"holding,holding","book,bottle"
1687519228.6365826,0.256575807929039,3.4025001525878906,walking,"holding,drinking","book,bottle"
1687519228.8444145,0.24236439913511276,3.5650001764297485,walking,holding,book
1687519229.052397,0.19925638288259506,3.7990001440048218,walking,holding,book
1687519229.2597198,0.15501010417938232,3.8930001258850098,walking,"holding,holding","book,bottle"
1687519229.4673314,0.1376510187983513,3.84850013256073,walking,"holding,holding","book,bottle"
1687519229.6756434,0.11273638159036636,3.8560001850128174,walking,"holding,holding","book,bottle"
1687519229.8829052,0.09496667981147766,3.889000177383423,walking,holding,bottle
1687519230.5023234,-0.18295569717884064,3.6530001163482666,walking,"holding,holding","book,bottle"
1687519230.7107708,-0.18295569717884064,3.6530001163482666,walking,"holding,holding","book,bottle"
1687519231.3293233,0.2203463315963745,3.312000274658203,walking,none,none
1687519231.5376575,0.24613332748413086,3.2995002269744873,standing,none,none
1687519231.7457309,0.25083309412002563,3.3373335202534995,standing,none,none
1687519231.9529257,0.2534805436929067,3.4056668281555176,standing,none,none
1687519232.1609213,0.22535247107346854,3.4103334744771323,standing,none,none
1687519232.369567,0.1887007157007853,3.3363335132598877,standing,none,none
1687519232.5789385,0.15434379875659943,3.191666841506958,standing,holding,book
1687519232.7864475,0.10525425523519516,3.00433349609375,standing,holding,book
1687519232.9950497,0.08274270221590996,2.91100013256073,standing,holding,book
1687519233.203512,0.040267474949359894,2.739000082015991,walking,none,none
1687519233.4116066,-0.1906912922859192,2.743000030517578,walking,holding,bottle
1687519233.6200287,-0.23467829823493958,2.8315000534057617,walking,holding,bottle
1687519233.8264272,-0.27866530418395996,2.9200000762939453,walking,holding,bottle
1687519234.4422576,-0.10447436571121216,2.814000129699707,sitting,"holding,drinking","book,bottle"
1687519234.6510162,-0.08596585690975189,2.8025001287460327,sitting,"holding,drinking","book,bottle"
1687519234.8577664,-0.04986354522407055,2.8345000743865967,sitting,holding,book
1687519235.0628505,-0.027779873460531235,2.8995001316070557,sitting,holding,book
1687519235.269219,-0.012167433276772499,2.878000179926554,sitting,"holding,holding","book,bottle"
1687519235.4758923,-0.00896297674626112,2.86733349164327,sitting,"holding,holding","book,bottle"
1687519235.6809242,-0.013624978562196096,2.8660000960032144,sitting,"holding,holding","book,bottle"
1687519235.8863115,-0.01992608079065879,2.890333414077759,sitting,holding,book
1687519236.0908608,-0.023159772157669067,2.9046667416890464,sitting,holding,book
1687519236.2964187,-0.02326342463493347,2.917666753133138,sitting,holding,book
1687519236.5024126,-0.021720539778470993,2.9213334719340005,sitting,holding,book
1687519236.7081168,-0.018493160294989746,2.9083334604899087,sitting,holding,book
1687519236.9169588,-0.016696460234622162,2.873666842778524,sitting,holding,book
1687519237.1235313,-0.01579374959692359,2.8545001745224,sitting,holding,book
1687519237.3316607,-0.03718787804245949,2.8705002069473267,sitting,holding,book
1687519237.53913,-0.05648382753133774,2.9250001907348633,sitting,holding,book
1687519237.7471004,-0.05648382753133774,2.9250001907348633,sitting,holding,book
1687519238.5721393,-0.2689993381500244,3.0240001678466797,sitting,holding,bottle
1687519238.7805421,-0.2266288548707962,2.9020001888275146,sitting,holding,bottle
1687519238.988256,-0.16830706596374512,2.7765002250671387,sitting,"holding,drinking","book,bottle"
1687519239.1960337,-0.17846865952014923,2.8930002450942993,sitting,"holding,drinking","book,bottle"
1687519239.4053617,-0.14978890866041183,2.978500247001648,sitting,"reading,holding","book,bottle"
1687519239.6131458,-0.04577466007322073,2.939333518346151,sitting,"holding,holding","book,bottle"
1687519239.8215666,-0.0061192211384574575,2.929666837056478,sitting,"holding,holding","book,bottle"
1687519240.0303564,0.02414132561534643,2.92900013923645,sitting,"holding,drinking","book,bottle"
1687519240.2374663,0.036643290892243385,2.9206668535868325,sitting,"reading,drinking","book,bottle"
1687519240.4473517,0.0401002528766791,2.947666803995768,sitting,"reading,drinking","book,bottle"
1687519240.6554625,0.03373735025525093,2.948333501815796,sitting,"reading,drinking","book,bottle"
1687519240.8628583,0.027594220514098804,2.9623334407806396,sitting,"reading,drinking","book,bottle"
1687519241.0706685,0.024137258529663086,2.935333490371704,walking,"reading,drinking","book,bottle"
1687519241.2769334,0.020949243878324825,2.9350001017252603,sitting,"reading,drinking","book,bottle"
1687519241.486639,0.0176850613206625,2.91700013478597,standing,"reading,drinking","book,bottle"
1687519241.6945841,0.014537579379975796,2.91700013478597,walking,"reading,drinking","book,bottle"
1687519241.9018264,0.014455347787588835,2.900500178337097,walking,"reading,drinking","book,bottle"
1687519242.313945,-0.1802637279033661,3.187000036239624,sitting,holding,bottle
1687519242.523005,-0.1363070160150528,3.0245001316070557,sitting,"reading,holding","book,bottle"
1687519242.731214,-0.12418875346581142,2.95466677347819,sitting,"reading,holding","book,bottle"
1687519242.9392266,-0.09840585788091023,2.816333452860514,sitting,"holding,holding","book,bottle"
1687519243.147072,-0.09771379455924034,2.7510000467300415,sitting,"reading,holding","book,bottle"
1687519243.3566284,-0.16240727653106055,2.889000097910563,sitting,"reading,holding","book,bottle"
1687519243.562955,-0.2864706218242645,3.222500205039978,sitting,"holding,holding","book,bottle"
1687519243.7686417,-0.2811470031738281,3.2800002098083496,sitting,"holding,holding","book,bottle"
1687519245.416091,0.060447849333286285,2.8540000915527344,walking,"reading,drinking","book,bottle"
1687519245.6262302,0.060754960402846336,2.8685001134872437,walking,"reading,drinking","book,bottle"
1687519245.834861,0.0649134200066328,2.8495001792907715,sitting,"reading,drinking","book,bottle"
1687519246.043706,0.06620534136891365,2.838666836420695,sitting,"reading,drinking","book,bottle"
1687519246.2533846,0.064401110013326,2.826000134150187,sitting,"reading,drinking","book,bottle"
1687519246.4605877,0.06134640301267306,2.8253334363301597,sitting,"reading,drinking","book,bottle"
1687519246.6668286,0.05762501247227192,2.8295000791549683,sitting,"reading,drinking","book,bottle"
1687519246.8748903,0.05971713736653328,2.8195000886917114,sitting,"reading,drinking","book,bottle"
1687519247.0820978,0.055401697754859924,2.833000063896179,sitting,"reading,drinking","book,bottle"
1687519247.2898774,0.0511312372982502,2.8500001430511475,sitting,"reading,drinking","book,bottle"
1687519247.496643,0.04669158533215523,2.861000180244446,sitting,"reading,drinking","book,bottle"
1687519247.7047105,0.041700875386595726,2.8365001678466797,sitting,"reading,drinking","book,bottle"
1687519247.9090343,0.034479621797800064,2.8095000982284546,sitting,"reading,drinking","book,bottle"
1687519248.1149006,-0.012774558737874031,2.908000111579895,sitting,"reading,drinking","book,bottle"
1687519248.3223538,-0.05319707468152046,3.007000207901001,sitting,"reading,drinking","book,bottle"
1687519250.7897084,0.044016364961862564,2.994000196456909,walking,reading,book
1687519250.9994133,0.044016364961862564,2.994000196456909,walking,reading,book
1687519251.2072878,0.101224759593606,3.2390002012252808,walking,reading,book
1687519251.4137573,0.19094739109277725,3.3815001249313354,walking,reading,book
1687519251.6212478,0.22533025592565536,3.3470001220703125,walking,reading,book
1687519251.828866,0.24041471630334854,3.444500207901001,standing,reading,book
1687519252.0359728,0.2370091676712036,3.5720001459121704,standing,reading,book
1687519252.244048,0.19420981407165527,3.6190000772476196,standing,reading,book
1687519252.4505405,0.13887501135468483,3.5595000982284546,standing,reading,book
1687519252.657163,0.060835438314825296,3.5520001649856567,standing,reading,book
1687519252.8647022,0.011952695436775684,3.5530002117156982,standing,reading,book
1687519253.0710018,-0.1591588407754898,3.6500000953674316,sitting,reading,book
1687519253.2784026,-0.1591588407754898,3.6500000953674316,sitting,reading,book
1687519254.7236283,-1.4271912574768066,3.4840002059936523,sitting,reading,book
1687519254.9312809,-1.402333378791809,3.4435001611709595,sitting,reading,book
1687519255.1389213,-1.38193146387736,3.46066681543986,walking,"reading,holding","book,bottle"
1687519255.344322,-1.3309780359268188,3.554666837056478,walking,"reading,holding","book,bottle"
1687519255.5502722,-1.248339096705119,3.7493335405985513,walking,"reading,holding","book,bottle"
1687519255.75824,-1.1679768562316895,4.000000238418579,walking,"reading,holding","book,bottle"
1687519255.9650817,-1.1058039267857869,4.2480002244313555,walking,"reading,holding","book,bottle"
1687519256.171975,-1.0770634015401204,4.400666872660319,walking,"reading,holding","book,bottle"
1687519256.378968,-1.0655746459960938,4.4775002002716064,walking,"reading,holding","book,bottle"
1687519256.5858552,-1.043337106704712,4.445000171661377,walking,"reading,drinking","book,bottle"
1687519264.414827,-0.5005809664726257,1.3990000486373901,walking,holding,book
1687519264.6257246,-0.8120842278003693,5.039500176906586,walking,holding,book
1687519264.8335195,-0.41484608477912843,3.7970001300175986,walking,reading,book
1687519265.042281,0.018384414647395413,1.3620000680287678,walking,reading,book
1687519265.2499425,0.164783048365886,1.4030000766118367,walking,reading,book
1687519265.4572508,0.30385011434555054,1.5733334223429363,walking,reading,book
1687519265.6654613,0.404693067073822,1.7543334166208904,walking,reading,book
1687519265.8749537,0.5003029406070709,1.9350000619888306,walking,reading,book
